Soil moisture,humidity,water level,temperature,label
308,68.3584573,74.05474936,24.84016732,non-fertile
310,58.84015925,63.87020584,22.27526694,non-fertile
330,65.76816093,94.76189431,18.87751445,non-fertile
308,60.2001687,72.12375573,25.19008683,fertile
329,55.28220433,63.72358154,18.25405352,fertile
333,70.4162444,104.1626147,24.6129118,fertile
325,65.26185135,76.68456006,25.1420613,non-fertile
348,60.1159381,65.49730729,23.09348056,fertile
309,62.89366992,84.23613484,18.05033737,non-fertile
307,73.80435276,79.74078719,24.9321581,non-fertile
302,71.09445342,88.07753741,18.14710054,fertile
305,66.65952796,80.97573281,18.28362235,fertile
310,58.75082029,79.7532896,18.83344471,fertile
324,67.22190688,74.51490791,25.71895816,fertile
310,68.49835977,96.46380213,25.33797709,non-fertile
325,57.48775781,102.8301942,23.89114571,non-fertile
334,71.50905983,102.4852929,21.53574127,non-fertile
312,63.10459626,70.43473609,23.08974909,non-fertile
345,63.4711755,108.8303762,25.61707368,non-fertile
290,63.1621551,65.88951188,21.44526922,non-fertile
285,55.53128131,90.988051,18.51816776,non-fertile
245,67.99257471,64.40866039,22.53510514,fertile
280,61.89472002,63.03843397,23.02038334,fertile
265,65.61418761,87.9298085,24.89364635,fertile
270,74.089114,107.4931917,25.77175115,non-fertile
620,62.35750641,60.95197486,19.39851734,fertile
350,59.64024162,109.7515385,21.54156232,non-fertile
340,74.82913698,91.76337172,23.79746068,non-fertile
290,74.52600826,94.26249353,18.9802729,fertile
320,73.13112261,71.07562236,24.10859207,fertile
315,70.04556743,76.72860067,24.7947077,fertile
365,60.27766379,69.21803098,21.63162756,non-fertile
317,57.21025565,101.7004306,25.37548751,fertile
306,72.85462807,106.6213157,22.21738222,fertile
303,69.00128641,66.29390357,20.58314011,fertile
303,68.74248334,91.26056654,24.87502824,non-fertile
304,56.35606753,109.024141,20.03728219,fertile
303,61.89082199,99.57981207,25.95263264,non-fertile
302,65.47050802,71.3195307,19.28889933,non-fertile
303,65.34583901,78.34604471,20.57981887,fertile
302,56.73426469,88.45361858,24.71417533,fertile
299,63.91281869,62.50351892,20.27317074,fertile
316,64.23580251,76.41312437,18.41932981,fertile
290,61.74427165,107.3198135,23.39128187,non-fertile
312,61.24500053,100.7689246,19.84939404,non-fertile
338,61.91044947,107.2681929,21.869274,non-fertile
354,56.50768935,101.5952794,22.8056033,non-fertile
359,69.02298571,80.72515943,19.0781471,non-fertile
302,65.35549924,83.73280082,22.02720976,non-fertile
308,59.24537979,89.9622014,23.80546189,non-fertile
284,69.0276233,88.10234397,18.52510753,fertile
265,61.32026065,64.77791424,23.50297882,fertile
263,72.89187265,73.33636055,26.54986394,fertile
259,69.63481219,83.21030571,19.29563411,non-fertile
647,59.4375337,103.651438,20.68899915,fertile
323,68.034493,84.22969177,19.32666088,non-fertile
319,73.58868502,96.59195302,24.60532218,non-fertile
315,59.52193158,67.96704792,22.27373646,fertile
307,61.33450447,83.20711308,25.70196694,fertile
306,68.30578978,87.85092352,19.20129357,fertile
306,60.47470519,95.71388473,21.70181447,fertile
306,59.21235483,67.61013737,20.51716779,non-fertile
306,73.62548442,97.59081274,23.30355338,non-fertile
303,55.64709899,64.23845455,24.2547451,non-fertile
303,65.7420046,75.82270467,24.86374934,fertile
304,65.77472881,88.17251033,22.6265115,fertile
303,60.61494304,104.2321615,18.04185513,non-fertile
302,72.33125523,67.10225139,23.26237612,non-fertile
303,71.59722446,67.72777298,22.88330922,fertile
302,69.36385721,103.2234212,25.97482359,fertile
299,66.20569924,107.2361366,26.14384005,fertile
316,61.55327249,75.03247667,18.66116213,fertile
290,55.97732754,78.16077693,25.10787449,fertile
312,59.24580604,105.0083144,23.33844615,non-fertile
338,65.92195844,62.49190812,25.08239719,non-fertile
354,72.52054555,107.9124111,25.36768364,fertile
359,63.31801994,74.52082026,25.34217103,non-fertile
302,67.816568,62.91359494,25.00933355,non-fertile
308,71.516474,69.93293255,18.66746724,non-fertile
284,63.73849998,108.5054416,20.37999665,fertile
265,72.61024172,78.96159541,18.09300227,non-fertile
263,71.96246617,79.84925393,26.16985907,fertile
259,61.37879671,93.62039175,18.65396672,non-fertile
647,59.37147589,85.75692395,26.07470121,non-fertile
323,72.80086137,82.34162918,18.92851916,non-fertile
319,63.24648023,108.7603001,23.30546753,non-fertile
315,62.49878458,70.23401597,18.74826712,non-fertile
307,59.66263104,65.50861389,19.74213321,non-fertile
306,70.74739256,98.73771338,25.73044432,non-fertile
306,16.98861173,88.55123143,17.02498456,fertile
306,17.13159126,79.92698081,19.02061277,fertile
306,15.40589717,68.54932919,17.88776475,fertile
303,15.65809214,88.51048983,18.86805647,non-fertile
303,19.56381041,79.26357665,18.36952567,fertile
304,15.40312102,92.68373702,20.45078582,non-fertile
303,16.60820843,74.6631118,20.6543203,non-fertile
302,18.74926979,82.61734721,17.3348681,fertile
303,18.90426935,81.84997529,18.17912258,fertile
302,18.30968112,81.98568791,18.01272266,fertile
299,19.33470387,93.55280105,20.99373558,fertile
316,15.22538951,74.58565097,19.46233971,non-fertile
290,14.69765308,78.96514709,19.81344531,non-fertile
312,19.5161216,80.7108745,18.97424756,non-fertile
338,14.71070537,70.18185181,18.19737048,non-fertile
354,19.18197264,71.58010169,18.72963144,non-fertile
359,19.8601304,73.50734019,20.99502153,non-fertile
302,16.39535215,82.52339655,20.28155898,non-fertile
308,15.7559405,66.96980581,17.48042641,fertile
284,14.32313811,90.46228334,20.88818675,fertile
265,16.14565756,71.31007253,17.08498521,fertile
263,15.11279612,85.74904898,20.09340593,non-fertile
259,14.99927489,89.31050665,17.57212145,fertile
647,18.43475844,85.52950164,19.12065218,non-fertile
323,19.22008229,72.94940441,18.57665902,non-fertile
319,14.42457525,72.32667516,17.16606398,fertile
315,16.67921616,74.87445574,18.2872007,fertile
307,18.66725565,94.70992037,19.03025305,fertile
306,17.0662427,83.74606679,17.1418614,non-fertile
306,17.93253975,78.92060234,17.47809436,fertile
306,14.25803981,83.75937135,20.56601874,fertile
306,15.82069268,76.57580954,17.22385224,fertile
303,19.44225438,91.76071648,19.69141713,non-fertile
303,19.09172907,76.32470713,17.84851658,fertile
304,16.1074793,89.73119396,18.8202251,non-fertile
303,16.54314829,93.35034262,17.47500984,non-fertile
302,17.58406365,81.20176515,18.72649425,fertile
303,16.17772668,81.70769297,18.65580107,fertile
302,19.68538502,83.74879344,18.2356751,fertile
299,15.21618225,77.5429424,18.81198127,fertile
316,17.80852431,77.92798682,18.65054116,non-fertile
290,16.89574311,82.2545577,20.36720401,non-fertile
312,16.63805158,70.52056697,18.38120357,non-fertile
338,17.30457712,72.78624223,17.17012591,non-fertile
354,15.77458129,85.24819851,19.37101121,non-fertile
359,14.27327988,85.37378769,17.92845928,non-fertile
302,18.23490739,75.6317566,19.45339934,non-fertile
308,14.92241479,89.61857826,19.12829388,fertile
284,17.26184541,75.49101167,19.1034283,fertile
280,16.96070581,86.05078037,17.48504075,fertile
243,18.98030507,80.25064637,19.40751744,non-fertile
235,19.63719995,78.26039559,20.18649426,fertile
645,15.15405941,75.57790384,17.30287885,non-fertile
323,15.48083156,72.9446671,17.50361137,non-fertile
345,14.70085967,90.7760707,18.17234999,fertile
354,16.71826572,77.81891424,17.57445618,fertile
301,18.91295403,78.06910795,20.93175255,fertile
306,17.63879418,85.57925437,19.71098332,non-fertile
306,17.86754927,69.40619137,19.07937684,non-fertile
306,16.02542689,76.32565249,18.54988627,non-fertile
306,17.41333199,80.6405403,18.19903647,fertile
310,14.99451145,80.1113384,18.88852533,fertile
330,14.72115044,91.94595352,18.49311205,non-fertile
345,17.17260319,87.51312796,19.48974337,non-fertile
290,18.74943955,94.00287214,17.25769499,fertile
280,18.71483156,88.4585692,19.62416326,fertile
250,19.85388984,84.78344008,20.67526473,fertile
240,16.63294455,68.97806542,20.02381489,fertile
232,14.44228303,88.68168643,20.1187446,fertile
225,15.84572566,65.23811143,20.65691793,non-fertile
320,14.2804191,65.78042032,19.2582557,non-fertile
380,15.85622899,74.63872762,17.927806,fertile
345,15.83500655,82.69766829,19.16288268,non-fertile
296,19.96978871,69.64449182,20.26942271,non-fertile
230,18.25142068,87.27444866,17.09104223,non-fertile
255,17.54024066,70.87150577,17.06579293,fertile
314,14.44008871,92.06630306,20.62767492,non-fertile
332,17.85057083,79.20509212,20.8248451,fertile
312,18.72831993,68.81405149,19.46210401,non-fertile
345,16.42891834,72.85017344,17.18248372,non-fertile
188,16.39055394,79.45758333,17.48911699,non-fertile
187,14.76014523,65.11365631,17.48395377,non-fertile
182,17.44534641,80.4986291,19.48316794,non-fertile
183,18.09665739,73.64476535,19.71359733,non-fertile
208,16.06240074,81.5284269,19.48649305,non-fertile
231,14.82633099,88.6810311,19.95264829,fertile
248,16.80472243,68.4951189,19.41789736,fertile
220,18.02235902,78.44910564,19.45591848,fertile
280,16.41998269,77.33795356,20.19137759,non-fertile
345,14.74071856,94.78189594,18.8392908,fertile
157,19.83643308,94.03659867,20.71219282,non-fertile
150,15.9362937,78.69707199,18.99424448,non-fertile
258,15.57324389,69.15759062,19.96837462,fertile
290,17.60756635,90.82097601,17.81564548,fertile
312,15.27824066,76.77888672,20.71424384,fertile
338,18.75626255,67.9545435,17.34150229,fertile
354,14.33847406,73.0926704,17.43732714,non-fertile
359,19.76182946,69.09512477,18.89780215,non-fertile
302,14.77959596,89.60982451,18.59190771,non-fertile
308,15.36143547,81.78710463,18.31561493,non-fertile
284,20.59541693,128.256862,17.13692774,non-fertile
265,18.90705639,106.3598183,19.63474332,non-fertile
263,21.33953114,109.225556,22.91350245,non-fertile
259,24.24045875,140.3717815,16.43340342,fertile
647,23.02251117,76.64128258,22.13974653,fertile
323,18.77621951,143.0984171,17.84806561,fertile
319,20.31564139,60.91974792,19.88394011,non-fertile
315,23.3334788,104.7783947,19.32509638,fertile
307,23.42829938,132.9801054,18.4167001,non-fertile
306,23.20591245,130.0608093,21.81167649,non-fertile
306,18.28173015,143.7630894,19.72702528,fertile
306,19.87070659,87.99669731,17.15432954,fertile
306,18.67170854,144.1567454,19.62207826,fertile
303,21.17919701,134.3649948,21.63149148,non-fertile
303,18.72479695,88.06638775,16.06522754,fertile
304,24.36314135,69.63833855,20.61162204,fertile
303,20.39659714,116.5206923,21.42451099,fertile
302,21.21092266,86.21917578,19.07096165,non-fertile
303,19.63438599,137.1948633,21.18853178,fertile
302,22.42610972,108.3684316,23.0429097,non-fertile
299,23.10538637,67.71768947,20.65375833,non-fertile
316,18.29318436,144.7902323,18.09551014,fertile
280,21.07643273,69.44951585,18.23775702,fertile
302,18.8251973,121.9401369,17.48189735,fertile
310,21.47324158,82.68554379,19.9191786,fertile
330,23.2353604,139.7521543,20.27514686,non-fertile
345,19.2303162,108.3441414,15.77370214,non-fertile
290,19.17651433,96.77285817,16.71170642,non-fertile
280,18.15302753,100.6711761,17.66148158,non-fertile
250,23.61670065,87.0513289,18.50692825,non-fertile
240,20.81527638,64.19497947,24.51324787,non-fertile
232,24.54038287,105.4120514,18.87614998,non-fertile
225,20.31871249,61.13872036,21.59343016,fertile
320,24.45202552,106.158201,20.12373284,fertile
620,18.37477907,139.0302034,15.43546065,fertile
302,21.59396123,122.3886015,22.64236876,non-fertile
300,24.87304788,129.5650601,21.98560799,fertile
280,18.09224048,120.4509288,20.53052663,non-fertile
290,21.14544088,95.17028129,15.78601387,non-fertile
310,19.68751084,96.65888933,19.6365349,fertile
320,19.7520218,87.87869161,20.57341244,fertile
306,24.84207559,138.2362122,20.16080524,fertile
330,24.25386207,120.6913038,21.53989176,fertile
302,23.75560241,107.3850593,15.53834801,non-fertile
301,20.70099804,108.6434544,19.91853092,non-fertile
302,18.93146941,109.0193712,20.76952209,non-fertile
303,23.22197648,95.84253438,23.46168338,fertile
304,21.0278674,60.27552528,24.32116642,fertile
305,24.96969858,100.0497183,20.12574053,non-fertile
310,18.57086554,125.0972687,21.80619564,non-fertile
350,24.92607153,113.334026,19.52226241,fertile
270,19.90790546,103.2926407,17.00067625,fertile
325,24.96881755,75.45328039,16.78791503,fertile
320,22.89464642,62.21292186,24.84906168,fertile
320,20.4555596,98.77794225,16.51783455,fertile
310,19.38602098,107.6907964,18.15300153,non-fertile
280,22.3104551,63.38208822,23.18864385,non-fertile
290,21.98879437,87.66898664,23.38002569,fertile
302,19.37703396,138.414764,18.358923,non-fertile
315,20.51346956,94.9533526,19.25975367,non-fertile
295,24.03553105,107.7315386,22.95458237,non-fertile
259,22.89845607,104.6252153,20.120043,fertile
620,22.7182355,141.6056722,21.14011423,non-fertile
310,18.22590825,62.7089169,24.92360104,fertile
319,24.91506728,135.3315583,15.33042636,non-fertile
316,21.27833035,125.084915,18.81097271,non-fertile
308,22.77255917,107.4137246,23.44260668,non-fertile
310,18.97267518,63.59276673,22.8352024,non-fertile
330,22.27512704,146.4727237,24.9035819,non-fertile
308,24.35679348,119.6404412,23.78709569,non-fertile
329,19.60379304,126.7265372,22.05592283,non-fertile
333,20.18238348,134.1811718,18.87492997,fertile
325,23.02410338,135.3378033,18.62328774,fertile
348,18.86880997,100.118612,23.00884744,fertile
309,24.13995025,68.51253427,19.33162606,non-fertile
307,21.35793891,66.97053257,16.24469193,fertile
302,24.90814655,69.14681022,17.91652287,non-fertile
305,21.43780702,88.88796102,15.46789263,non-fertile
310,23.77201471,81.83420522,17.06104474,fertile
324,18.48522915,109.1013261,21.32776028,fertile
310,20.74619325,81.60211243,23.90910104,fertile
325,22.74378977,112.6616435,23.89756791,fertile
334,20.57940608,143.8584938,22.98666928,non-fertile
312,22.91244883,146.4548645,21.35135729,non-fertile
345,19.27907819,116.7324324,24.1638445,non-fertile
290,18.18325169,149.7441028,24.62835037,non-fertile
285,24.93896255,124.6118471,21.02213209,non-fertile
245,20.01730914,115.199245,17.30844532,non-fertile
280,24.75485098,84.64143632,23.82576704,non-fertile
265,23.96362799,129.3449326,19.30607278,fertile
270,22.33195853,130.3900798,16.03768615,fertile
620,20.83398341,80.15293435,19.18572809,fertile
350,21.79992115,64.02640797,19.92889503,non-fertile
340,24.67385131,139.2921004,19.56376468,fertile
290,24.32991649,76.14153904,18.31357543,non-fertile
320,23.22323766,73.36386477,20.10993761,non-fertile
315,21.90539577,100.5978728,23.60506572,fertile
365,24.89487354,84.06354115,19.73136909,fertile
317,21.1893007,133.1914419,20.93409877,fertile
306,20.24768314,104.2570723,18.78226261,non-fertile
303,57.92887167,122.6539694,36.51268371,fertile
303,62.73178224,163.7266551,36.89163721,fertile
304,59.38967583,103.3301803,29.23540524,fertile
303,43.35795962,142.3303677,27.33534897,non-fertile
302,55.46985938,184.6226709,21.0643684,fertile
303,42.35249879,149.299952,30.33276599,non-fertile
302,45.03186173,147.0361442,31.80130272,non-fertile
299,38.23184742,198.8298806,33.18184225,fertile
316,63.47742011,90.05422663,29.38538562,fertile
290,67.38680755,127.7767134,30.27374995,fertile
312,68.75810535,108.6333046,35.45790488,fertile
338,40.03262418,176.6165894,33.80020039,non-fertile
354,49.47225353,96.36222901,28.69180475,non-fertile
359,56.67369054,122.0146733,31.24021696,non-fertile
302,57.23265151,120.7435664,28.98039357,non-fertile
308,34.13737127,96.51524028,27.32198928,non-fertile
284,38.80023714,180.382234,21.47607807,non-fertile
265,34.69776639,107.4721605,18.31910448,non-fertile
263,37.73992903,161.4812963,36.97794384,fertile
259,40.1242747,121.5639121,24.80467592,fertile
647,55.96805489,194.5921148,19.3479443,fertile
323,50.12323801,179.2155874,28.88302142,non-fertile
319,47.19188279,192.4372194,19.54314136,fertile
315,50.54621094,114.2821387,24.7741949,non-fertile
307,38.40975482,139.6483317,18.33124824,non-fertile
306,45.3733757,132.7748215,19.14729038,fertile
306,49.4421345,186.5008581,28.23416057,fertile
306,34.13307843,157.0858232,30.11812084,fertile
306,35.42910045,139.6702541,33.4126864,non-fertile
303,46.68746847,177.3377996,24.18553163,non-fertile
303,41.69617915,94.46748008,26.88630675,non-fertile
304,57.97429171,161.7820226,31.33170829,fertile
303,67.07780816,108.5090168,33.30711818,fertile
302,46.48714759,150.8712202,23.45379018,non-fertile
303,39.04468913,168.5948318,34.53823889,non-fertile
302,34.51086611,197.3752649,19.50112224,fertile
299,37.57792132,91.72084869,28.76794904,fertile
316,32.24914235,180.716828,30.97758716,fertile
290,36.82639309,93.12330644,18.39759147,fertile
312,30.98685456,116.9106908,35.09357419,fertile
338,30.40046769,159.2649827,34.93174223,non-fertile
354,35.72032498,187.8961851,29.50523036,non-fertile
359,47.52980027,129.0064612,34.51934775,fertile
302,52.10010827,147.0414824,28.43430726,non-fertile
308,34.80541039,163.2747473,18.41645629,non-fertile
284,47.19847683,91.31256412,31.07508973,non-fertile
265,46.24856523,195.5697875,20.89342749,fertile
263,52.79913039,170.9919828,30.90607799,non-fertile
259,66.45457122,145.3728801,27.9348279,fertile
647,36.52780776,136.0456753,35.95176642,non-fertile
323,56.92831399,173.1686574,19.54317155,non-fertile
319,32.31528909,176.4134092,19.63736208,non-fertile
315,56.46868874,129.2028653,31.2192752,non-fertile
307,45.70976142,126.6738117,33.50876355,non-fertile
306,45.01110015,188.4928637,24.80710166,non-fertile
306,31.94550613,191.0658531,36.20970524,non-fertile
306,35.48885969,162.5927723,30.50420876,fertile
306,49.94704718,160.3337447,26.01630259,fertile
303,35.6395615,100.546816,31.48469278,fertile
303,32.45974539,105.0380275,33.15122581,non-fertile
304,51.29019509,192.3023991,23.50222822,fertile
303,38.83786012,148.2502786,34.87248659,non-fertile
302,44.93322042,197.1144011,28.09269012,non-fertile
303,57.3414485,118.3606557,24.54757829,fertile
302,48.41490082,100.4673278,33.64769646,fertile
299,60.54880693,191.0895109,20.5591255,fertile
316,59.33157782,195.787103,19.95991719,fertile
290,62.4901206,182.2688175,28.87667593,non-fertile
312,43.61444121,159.8938645,36.04353699,non-fertile
338,47.2879691,141.1250722,23.6734328,non-fertile
354,40.7192594,100.7791633,25.74679443,non-fertile
359,66.68832981,175.9303271,31.08564994,non-fertile
302,61.33186249,139.8710041,18.72987676,non-fertile
308,63.46513414,189.5208915,29.50304807,non-fertile
284,39.37252634,137.2279662,20.43517772,fertile
265,56.01334416,134.8596466,36.00415838,fertile
263,35.39454002,174.5723999,31.46846241,fertile
259,56.03021253,101.6073988,36.30049702,non-fertile
647,67.10604388,153.2504506,29.49096726,fertile
323,34.75591197,177.5764304,30.5753044,non-fertile
319,59.96669215,91.95792434,24.69487673,non-fertile
315,36.67847052,162.5931264,23.17409556,fertile
307,33.10695144,155.3705624,19.04380471,fertile
306,45.93248374,165.4113371,29.32379604,fertile
306,54.32342534,180.9009998,34.6455408,non-fertile
306,56.31006755,136.8274312,21.9989826,fertile
306,60.24218572,159.689339,22.99774444,fertile
303,35.29006485,178.8998611,30.55992394,fertile
303,48.17631461,165.405354,31.46417866,non-fertile
304,40.58227261,109.1821183,25.95058595,fertile
303,69.69141302,185.2039114,21.01142393,non-fertile
302,47.70351758,149.063196,19.25100056,non-fertile
303,50.54495302,180.6465282,19.24462755,fertile
302,62.56532471,96.74706956,22.47253208,fertile
299,58.25799145,124.6028153,36.75087487,fertile
316,66.35375127,198.1403003,29.89286629,fertile
290,44.82294584,172.40168,29.37735586,non-fertile
312,42.89833235,186.9226052,29.65052947,non-fertile
338,66.34777265,173.1106982,19.54284889,non-fertile
354,48.93905624,122.4564203,20.04611791,non-fertile
359,64.70930606,32.67891866,27.91095209,non-fertile
302,51.27868781,36.5037914,27.32220619,non-fertile
308,59.3189118,36.92629678,28.66024187,non-fertile
284,61.09387478,72.98016599,29.02955344,fertile
280,54.65030015,32.05025323,27.78031515,fertile
243,54.1077461,71.6266696,31.99928579,fertile
235,55.27755933,73.44775287,27.33580911,non-fertile
645,53.57014709,66.35634104,28.92952635,fertile
323,58.59986279,36.94255012,27.65472156,non-fertile
345,55.77264351,61.32935611,28.52396666,non-fertile
354,45.89239456,53.56783314,31.02215872,fertile
301,45.38497051,67.43488235,25.74095321,fertile
306,56.85420099,44.94317432,31.70447482,fertile
306,58.51663927,34.96933295,24.47876451,fertile
306,51.79939437,74.44330654,31.46511256,non-fertile
306,50.7330069,53.39249517,25.60973447,non-fertile
354,47.18283631,68.04039813,30.30260453,non-fertile
359,43.6672299,45.78172762,28.17489437,fertile
302,44.8302551,74.32635105,25.50634557,fertile
308,43.58788762,32.76742894,31.12896766,non-fertile
284,55.59160391,35.1051197,26.34043268,non-fertile
265,61.5620517,72.66666443,28.23494706,fertile
263,49.32609633,48.25207759,27.04453473,fertile
259,55.25435777,40.89732789,25.16125354,fertile
647,51.66921088,32.55919573,27.3179125,fertile
323,49.66474269,31.87416982,25.4123765,fertile
319,46.01868196,53.1205277,31.21629982,non-fertile
315,58.22686794,62.74803826,30.573999,non-fertile
307,53.2208266,46.19374559,25.42517036,fertile
306,43.65305437,41.53749535,27.09400578,non-fertile
306,56.32938343,58.99536268,24.30935081,non-fertile
306,45.90067655,41.0550915,30.06142622,non-fertile
306,60.9835384,33.84110759,28.09568993,fertile
303,40.00933429,55.50429227,26.33908791,non-fertile
303,57.14218792,57.02891698,28.61409059,fertile
304,44.359648,44.11622138,28.70012137,non-fertile
303,59.79236306,42.24783476,24.21610338,non-fertile
302,45.20094476,66.1761456,28.50677929,non-fertile
303,64.95585424,72.19245835,25.97948991,non-fertile
302,41.36561835,55.053805,30.88482722,non-fertile
299,61.66852372,65.07981523,25.5042419,non-fertile
316,51.33189406,38.48678973,25.12528913,non-fertile
290,63.56791363,62.20279647,27.10508014,fertile
312,44.82069159,70.79934452,31.1006247,fertile
338,56.40226277,64.16167699,26.45707778,fertile
354,63.56222995,31.83192392,30.04132304,non-fertile
359,54.82130787,50.28438729,27.77799528,fertile
302,43.02151392,58.27600682,30.99256944,non-fertile
308,47.36534833,36.99362831,26.4908332,non-fertile
284,57.17377029,64.25520357,31.96987867,fertile
280,46.82652785,55.60523179,25.36140526,fertile
243,56.96640758,48.46797044,25.54249137,fertile
235,62.85948245,70.4713043,28.99319096,fertile
645,60.50320928,34.03335472,29.34317422,non-fertile
323,61.39451307,68.54877876,28.63618921,non-fertile
345,44.17085032,52.0810886,24.83206631,non-fertile
354,58.55363573,57.04826619,25.44689075,non-fertile
301,62.40392519,63.77192383,31.01274943,non-fertile
